,input_text
885,Least I could've died in peace without having to hear you yammer.
886,Ahh...
887,Don't suppose you have a light?
888,No smoking in here.
889,"Normally, I'm sure,"
890,but this is the finest tobacco a man can enjoy.
891,Hand-rolled on the ample thighs of exotic women.
892,Perhaps you'd like to try one yourself.
893,"Choices, Lawrence."
894,"You know, you tell yourself you've been at the mercy of mine"
895,because it spares you consideration of your own.
896,"Because if you did consider your choices,"
897,you'd be confronted with a truth you could not comprehend.
898,That no choice you ever made was your own.
899,You have always been a prisoner.
900,What if I told you I'm here to set you free?
901,Hyah!
902,Whoa.
903,Let's go!
904,Horse thieves.
905,Damn fools shot up a couple of pokes practically in front of us.
906,"Well, the only fool I see is the one standing right in front of me."
907,"Deputy, you have there in your custody the most wanted man in three territories."
908,Lawrence Pedro Maria Gonzalez.
909,Yeah.
910,Heard you slipped the rope.
911,Dropped some damn good men in exchange.
912,"The way he tells it, he's more partial to a firing squad."
913,I Reckon we'll be happy to oblige.
914,I'm gonna fucking kill you.
915,Maybe someday.
916,Lock him up with the other man.
917,Enjoy the cigars.
918,Go fuck yourself.
919,And just who are you supposed to be?
920,Your salvation.
921,Hyah! Hyah!
922,I don't believe we've ever met.
923,"No, we haven't."
924,"You know, you always seemed like a market-tested kind of thing."
925,"Big gun, tasteful scar."
926,Locked in your little cycle like a prized poodle after its own tail.
927,You sound like a man who's grown tired of wearing his guts on the inside.
928,There's no need to get testy. I'm just curious about your worldview.
929,Some kind of half-native mumbo jumbo?
930,It's simple.
931,I believe that only the truly brave
932,"can look at the world and understand that all of it,"
933,"gods, men, everything else,"
934,will end badly.
935,No one will be saved.
936,Maybe we've got more in common than I thought.
937,What about you? What turns of fate have brought you here?
938,"It's a long story, and we don't have the time."
939,"Got more time than your friend, sadly."
940,It will be a few more days before my friends show up.
941,Three days. Normally.
942,"I'm afraid I don't have time for that, so we're leaving now."
943,I've got a request for a pyrotechnic effect.
944,"Los Diablos. Low-yield, two charges."
945,Approved.
946,Authorizing.
947,"Step lively, Hector."
948,- Any last words? - Get it over with.
949,Motherfucker.
950,One match.
951,You're a capable man.
952,We could do with your help where we're going.
953,- Afraid not. - We owe you a debt.
954,"No, your friend here simply owes me a word or two."
955,That'd do. And a word of advice.
956,That thing you're looking for? You're never gonna find it in that safe.
957,I was seven when they rode into my town.
958,Masked men in devils' horns.
959,"They killed everyone. Women, children, even the animals."
960,They gutted my mother from her jaw to her sex.
961,I had to paint her warm blood over my skin
962,to make sure that they would think I was dead.
963,"Every one of them I tracked down, I used their blood to paint my skin again."
964,Only one man left.
965,The head of the snake.
966,What's his name?
967,He has many names.
968,Most know him as Wyatt.
969,"Hey, little girl, what is this? What does it mean?"
970,"Don't waste your breath, lady."
971,That thing's part of their so-called religion.
972,Ain't none of them's gonna tell you nothing about that.
973,It's $5 for an hour. $4 if you bathe first.
974,"Well, if we just get the one,"
975,do I get a discount for being second and all?
976,I'm sure we can work something out.
977,Come on.
978,"The tall one, I've seen him before, hanging in the window of the post office."
979,Bandits? Do you think they're here for something?
980,I think they're interested in more than a turn at Franny's backside.
981,I think he rides with Hector.
982,Is that the one they say lives out with the savages?
983,That's the one.
984,Taking off? I just got here.
985,You gave me what I needed.
986,"So, is that all I'm good for? Letting off a little stress?"
987,Who says I'm stressed?
988,You have your tells.
989,"Oh, yes, Bernard, master of observation."
990,"Tomorrow, I have to talk to Ford."
991,Why?
992,He's creating chaos in the park.
993,And the board will be descending at any moment.
994,I need to buy some time.
995,Some advice?
996,Best to not show him you're nervous or defensive.
997,I have nothing to be defensive about.
998,Then don't cross your arms.
999,It's an ancient instinct.
1000,The belly is the most vulnerable part of every animal.
1001,It's so sexy being compared to a frightened beast.
1002,There.
1003,That's the posture you're looking for.
1004,"Sometimes, despite your best efforts,"
1005,- you can actually be quite charming. - Hmm.
1006,Have the neighbors complained?
1007,"Safe to say, they're asking questions."
1008,"The rocks would prefer not to move, but we shall move them yet."
1009,Perhaps I can help you with that.
1010,The narrative you're creating is clearly a massive endeavor.
1011,"If you need more time,"
1012,I'm sure the board would be happy to oblige.
1013,I'm sure they'd be happier for me to delay it indefinitely.
1014,Come with me.
1015,"You imagine I have gone mad, do you? Lost my way?"
1016,We're simply concerned about the extent of the changes you're making.
1017,We want to protect your legacy.
1018,My legacy?
1019,Hmm.
1020,"You don't like this place very much, do you?"
1021,"I've seen many of you come and go over the years,"
1022,and I can tell the ones who enjoy their time here
1023,and the ones who don't.
1024,"I admire it, the audacity of it."
1025,- Oh. - I'd forgotten how beautiful it is.
1026,I came here once as a child with my parents.
1027,I think we even sat at this table. Or maybe that one.
1028,"When I started working here,"
1029,I realized this place wasn't something I would enjoy.
1030,Ah.
1031,"In the beginning,"
1032,I imagined things would be perfectly balanced.
1033,"Even had a bet with my partner, Arnold, to that effect."
1034,We made 100 hopeful storylines.
1035,"Of course, almost no one took us up on them."
1036,I lost the bet.
1037,Arnold always held a somewhat dim view of people.
1038,He preferred the hosts.
1039,"He begged me to not let you people in, the moneymen."
1040,Delos.
1041,"But I told him we'd be fine,"
1042,that you didn't understand what you were paying for.
1043,"It's not a business venture, not a theme park, but an entire world."
1044,We designed every inch of it.
1045,Every blade of grass.
1046,"In here, we were gods."
1047,And you were merely our guests.
1048,And how did that work out for Arnold?
1049,"Sadly, he lost his perspective."
1050,He went mad.
1051,"I haven't, as you well know."
1052,I have always seen things
1053,very clearly.
1054,This is the table I sat at with my parents.
1055,This is the chair I sat in.
1056,"We know everything about our guests, don't we?"
1057,As we know everything about our employees.
1058,I do hope you will be careful with Bernard.
1059,He has a sensitive disposition.
1060,"I beg your pardon, señorita."
1061,"There have been many of you over the years,"
1062,and we have always...
1063,"Almost always, found a way to make it work."
1064,"So, I will ask you nicely."
1065,Please don't get in my way.
1066,The board will agree with me.
1067,They'll be sending a representative.
1068,But they already have. I thought they would've told you.
1069,"That won't be necessary, Manu. Not anymore. You can join the others."
1070,"You can tell the board that my narrative will be completed on time,"
1071,"and it won't be a retrospective, as I'm sure you have all feared."
1072,I'm not the sentimental type.
1073,Holden says this Slim's got a whole gang with him.
1074,"So, I need you to stay here."
1075,"If you're outnumbered, the last thing you need is somebody standing by."
1076,"- I can help. - No. No, no, no."
1077,"Um, I know it doesn't make any sense to you,"
1078,"but I can't get hurt in there, but you can."
1079,I would hate to see that happen.
1080,Just stay here. Okay? Be safe.
1081,- Aw. Did you get a goodbye kiss? - Shut up.
1082,"Seriously, if you don't bang her by tomorrow, I'm calling dibs."
1083,"Okay, listen up. It's gonna be a bag of nails in there."
1084,Slim and his boys got us outnumbered.
1085,"On top of that, there's a family runs this place. Good people."
